iter	Passed	Remaining
445	11028	13698
446	11049	13669
447	11069	13638
448	11089	13608
449	11109	13577
450	11129	13547
451	11151	13519
452	11173	13491
453	11193	13462
454	11214	13432
455	11236	13405
456	11261	13380
457	11284	13354
458	11306	13326
459	11330	13301
460	11353	13274
461	11376	13248
462	11398	13220
463	11423	13196
464	11446	13169
465	11467	13141
466	11488	13112
467	11510	13084
468	11532	13057
469	11557	13033
470	11581	13008
471	11604	12981
472	11626	12953
473	11647	12925
474	11669	12897
475	11694	12873
476	11717	12848
477	11741	12822
478	11765	12796
479	11795	12778
480	11817	12751
481	11845	12729
482	11866	12701
483	11887	12673
484	11911	12648
485	11935	12622
486	11957	12595
487	11979	12568
488	12003	12543
489	12025	12515
490	12047	12488
491	12069	12462
492	12092	12435
493	12115	12410
494	12146	12391
495	12166	12363
496	12195	12342
497	12226	12324
498	12252	12301
499	12275	12275
500	12298	12249
501	12323	12224
502	12346	12198
503	12372	12176
504	12397	12152
505	12420	12126
506	12443	12100
507	12471	12078
508	12496	12054
509	12518	12027
510	12540	12001
511	12563	11974
512	12585	11947
513	12605	11919
514	12628	11893
515	12649	11865
516	12671	11838
517	12692	11810
518	12714	11783
519	12739	11759
520	12761	11732
521	12783	11706
522	12804	11678
523	12825	11650
524	12850	11626
525	12870	11598
526	12891	11570
527	12912	11542
528	12933	11515
529	12953	11487
530	12973	11458
531	13010	11445
532	13030	11416
533	13051	11389
534	13070	11360
535	13091	11333
536	13115	11308
537	13134	11279
538	13155	11252
539	13175	11223
540	13195	11195
541	13215	11167
542	13235	11139
543	13254	11110
544	13273	11081
545	13292	11052
546	13311	11024
547	13330	10995
548	13350	10967
549	13370	10939
550	13391	10912
551	13422	10893
552	13442	10865
553	13468	10842
554	13487	10814
555	13509	10788
556	13529	10760
557	13548	10731
558	13567	10703
559	13587	10675
560	13606	10647
561	13635	10626
562	13654	10598
563	13673	10570
564	13693	10542
565	13713	10514
566	13733	10487
567	13752	10459
568	13772	10432
569	13791	10404
570	13811	10376
571	13832	10349
572	13852	10322
573	13871	10295
574	13891	10267
575	13910	10239
576	13931	10213
577	13950	10185
578	13971	10158
579	13990	10131
580	14010	10103
581	14045	10087
582	14067	10061
583	14087	10035
584	14112	10011
585	14136	9987
586	14156	9960
587	14175	9932
588	14202	9910
589	14224	9884
590	14246	9859
591	14271	9835
592	14291	9808
593	14311	9781
594	14333	9756
595	14355	9730
596	14379	9706
597	14402	9681
598	14425	9657
599	14449	9632
600	14472	9608
601	14493	9582
602	14521	9560
603	14542	9534
604	14568	9511
605	14592	9487
606	14616	9463
607	14640	9439
608	14662	9413
609	14684	9388
610	14710	9365
611	14731	9339
612	14756	9316
613	14778	9290
614	14800	9265
615	14822	9239
616	14843	9214
617	14865	9188
618	14887	9163
619	14910	9138
620	14933	9113
621	14955	9088
622	14980	9065
623	15005	9041
624	15029	9017
625	15052	8993
626	15082	8972
627	15108	8949
628	15137	8928
629	15161	8904
630	15185	8880
631	15208	8855
632	15232	8831
633	15254	8806
634	15274	8779
635	15296	8754
636	15319	8729
637	15340	8704
638	15363	8679
639	15387	8655
640	15409	8630
641	15429	8604
642	15453	8579
643	15474	8554
644	15496	8529
645	15516	8502
646	15537	8477
647	15559	8451
648	15584	8428
649	15604	8402
650	15626	8377
651	15648	8352
652	15672	8328
653	15697	8304
654	15717	8278
655	15741	8254
656	15761	8228
657	15782	8203
658	15803	8177
659	15823	8151
660	15843	8125
661	15867	8101
662	15889	8076
663	15911	8051
664	15936	8028
665	15961	8004
666	15987	7981
667	16006	7955
668	16030	7931
669	16054	7907
670	16074	7881
671	16094	7855
672	16115	7830
673	16135	7804
674	16163	7782
675	16182	7756
676	16202	7730
677	16234	7710
678	16256	7685
679	16275	7659
680	16295	7633
681	16314	7607
682	16337	7582
683	16360	7558
684	16383	7533
685	16402	7507
686	16422	7481
687	16441	7456
688	16461	7430
689	16480	7404
690	16500	7378
691	16521	7353
692	16544	7329
693	16565	7304
694	16585	7278
695	16604	7252
696	16625	7227
697	16653	7205
698	16674	7180
699	16696	7155
700	16719	7131
701	16739	7105
702	16761	7081
703	16784	7056
704	16805	7032
705	16825	7006
706	16846	6981
707	16867	6956
708	16888	6931
709	16907	6906
710	16928	6881
711	16950	6856
712	16970	6831
713	16991	6806
714	17012	6781
715	17032	6755
716	17052	6730
717	17074	6706
718	17095	6681
719	17114	6655
720	17137	6631
721	17157	6606
722	17180	6582
723	17202	6557
724	17222	6532
725	17243	6507
726	17265	6483
727	17285	6458
728	17308	6434
729	17330	6409
730	17351	6385
731	17376	6361
732	17398	6337
733	17420	6313
734	17442	6288
735	17464	6264
736	17484	6239
737	17505	6214
738	17527	6190
739	17551	6166
740	17574	6142
741	17594	6117
742	17615	6093
743	17638	6069
744	17659	6044
745	17681	6020
746	17704	5996
747	17725	5971
748	17744	5946
749	17777	5925
750	17801	5902
751	17824	5878
752	17847	5854
753	17867	5829
754	17887	5804
755	17907	5779
756	17928	5755
757	17951	5731
758	17972	5706
759	17996	5683
760	18018	5658
761	18038	5634
762	18062	5610
763	18082	5585
764	18104	5561
765	18124	5536
766	18146	5512
767	18171	5489
768	18198	5466
769	18220	5442
770	18241	5418
771	18262	5393
772	18283	5369
773	18308	5345
774	18329	5321
775	18355	5298
776	18379	5274
777	18399	5250
778	18426	5227
779	18451	5204
780	18473	5180
781	18498	5156
782	18520	5132
783	18545	5109
784	18571	5086
785	18593	5062
786	18616	5038
787	18636	5013
788	18657	4989
789	18681	4966
790	18705	4942
791	18727	4918
792	18749	4894
793	18772	4870
794	18794	4846
795	18814	4821
796	18836	4797
797	18859	4773
798	18880	4749
799	18916	4729
800	18939	4705
801	18962	4681
802	18983	4657
803	19005	4633
804	19028	4609
805	19048	4584
806	19067	4560
807	19090	4536
808	19111	4512
809	19131	4487
810	19153	4463
811	19176	4439
812	19197	4415
813	19266	4402
814	19286	4378
815	19308	4353
816	19328	4329
817	19347	4304
818	19367	4280
819	19388	4255
820	19408	4231
821	19428	4207
822	19449	4182
823	19467	4158
824	19486	4133
825	19507	4109
826	19526	4084
827	19546	4060
828	19568	4036
829	19587	4011
830	19606	3987
831	19626	3963
832	19649	3939
833	19672	3915
834	19692	3891
835	19712	3866
836	19732	3842
837	19755	3819
838	19775	3794
839	19795	3770
840	19815	3746
841	19838	3722
842	19861	3698
843	19882	3674
844	19902	3650
845	19921	3626
846	19943	3602
847	19963	3578
848	19984	3554
849	20011	3531
850	20033	3507
851	20055	3483
852	20076	3459
853	20096	3435
854	20115	3411
855	20150	3389
856	20171	3365
857	20198	3342
858	20218	3318
859	20237	3294
860	20258	3270
861	20286	3247
862	20310	3224
863	20331	3200
864	20351	3176
865	20372	3152
866	20396	3128
867	20418	3105
868	20441	3081
869	20466	3058
870	20491	3034
871	20512	3010
872	20536	2987
873	20557	2963
874	20583	2940
875	20605	2916
876	20627	2892
877	20649	2869
878	20673	2845
879	20699	2822
880	20722	2799
881	20748	2775
882	20771	2752
883	20794	2728
884	20819	2705
885	20854	2683
886	20875	2659
887	20895	2635
888	20920	2612
889	20940	2588
890	20963	2564
891	20990	2541
892	21017	2518
893	21040	2494
894	21064	2471
895	21086	2447
896	21111	2424
897	21138	2400
898	21163	2377
899	21190	2354
900	21220	2331
901	21242	2307
902	21263	2284
903	21293	2261
904	21314	2237
905	21335	2213
906	21365	2190
907	21386	2166
908	21408	2143
909	21439	2120
910	21461	2096
911	21483	2072
912	21504	2049
913	21525	2025
914	21547	2001
915	21568	1977
916	21590	1954
917	21611	1930
918	21634	1906
919	21655	1883
920	21679	1859
921	21707	1836
922	21729	1812
923	21757	1789
924	21782	1766
925	21806	1742
926	21831	1719
927	21855	1695
928	21877	1671
929	21899	1648
930	21922	1624
931	21943	1601
932	21965	1577
933	21990	1553
934	22015	1530
935	22037	1506
936	22062	1483
937	22088	1460
938	22113	1436
939	22139	1413
940	22160	1389
941	22181	1365
942	22203	1342
943	22221	1318
944	22244	1294
945	22276	1271
946	22296	1247
947	22321	1224
948	22342	1200
949	22361	1176
950	22380	1153
951	22402	1129
952	22425	1105
953	22444	1082
954	22463	1058
955	22483	1034
956	22506	1011
957	22541	988
958	22563	964
959	22582	940
960	22602	917
961	22623	893
962	22646	870
963	22665	846
964	22688	822
965	22709	799
966	22731	775
967	22752	752
968	22772	728
969	22792	704
970	22812	681
971	22832	657
972	22852	634
973	22871	610
974	22894	587
975	22913	563
976	22934	539
977	22953	516
978	22974	492
979	22993	469
980	23016	445
981	23035	422
982	23055	398
983	23076	375
984	23096	351
985	23128	328
986	23151	304
987	23170	281
988	23190	257
989	23212	234
990	23234	211
991	23253	187
992	23273	164
993	23292	140
994	23316	117
995	23339	93
996	23359	70
997	23380	46
998	23400	23
999	23423	0
