iter	MAPE
0	0.498724377
1	0.4930403582
2	0.4874969602
3	0.4823910205
4	0.4786736956
5	0.474808562
6	0.469845805
7	0.4662135618
8	0.4614697988
9	0.4564727723
10	0.451956803
11	0.448603728
12	0.4472381756
13	0.4435032094
14	0.4423092191
15	0.4409517243
16	0.4397570009
17	0.4372354236
18	0.4346470093
19	0.4336401215
20	0.4316366928
21	0.4307297564
22	0.4290433316
23	0.4277588583
24	0.4268872147
25	0.4262133094
26	0.4257413573
27	0.4252545879
28	0.425072002
29	0.4249384839
30	0.4236569855
31	0.4233517156
32	0.4232590465
33	0.4225983353
34	0.4225593676
35	0.4225564692
36	0.4221929772
37	0.4206839683
38	0.4206632451
39	0.4200012139
40	0.4199798545
41	0.419537471
42	0.4194340235
43	0.4190498538
44	0.4190380046
45	0.4185757159
46	0.41857228
47	0.4182136086
48	0.4181950138
49	0.4181832246
50	0.4179354516
51	0.4175740147
52	0.4161736363
53	0.4154709806
54	0.4152556366
55	0.4145446527
56	0.4145219904
57	0.4143847168
58	0.4141425385
59	0.4139721865
60	0.4139654819
61	0.4135856951
62	0.4133530387
63	0.4131828031
64	0.4131014638
65	0.4130357285
66	0.4129957594
67	0.4126688428
68	0.4115480184
69	0.411426053
70	0.4112317074
71	0.4109283776
72	0.4109268305
73	0.4108856386
74	0.4107477702
75	0.4106091617
76	0.4105465696
77	0.4105079788
78	0.4104479619
79	0.4097609764
80	0.4097542654
81	0.4097471828
82	0.4095467715
83	0.4090816491
84	0.4087494498
85	0.4085418903
86	0.4082783133
87	0.4082606147
88	0.4075869011
89	0.4075557917
90	0.4075382432
91	0.4075266661
92	0.4075202339
93	0.4075049602
94	0.4074652764
95	0.4072740848
96	0.40653122
97	0.406524802
98	0.4065021702
99	0.4059023198
100	0.4059001824
101	0.4056537275
102	0.4056058012
103	0.405596421
104	0.4054573606
105	0.4054446666
106	0.4051387106
107	0.4051331202
108	0.4051269642
109	0.4049049762
110	0.4048665402
111	0.4047674206
112	0.4047575974
113	0.4043236753
114	0.404300372
115	0.4042924082
116	0.4042472855
117	0.4042391678
118	0.40358956
119	0.403528996
120	0.403521563
121	0.4035137149
122	0.4034398482
123	0.4029474201
124	0.4028967533
125	0.402851216
126	0.4028063119
127	0.4027054924
128	0.4025506984
129	0.4025464543
130	0.4022879853
131	0.4022814866
132	0.4022544398
133	0.4022411287
134	0.4005404806
135	0.4005184411
136	0.4005165506
137	0.4004012312
138	0.4003300288
139	0.3999940122
140	0.399956263
141	0.3999140915
142	0.3998926158
143	0.3998808215
144	0.3992118371
145	0.3991891149
146	0.3991579912
147	0.3991197307
148	0.3991082769
149	0.3990685006
150	0.3990573013
151	0.3990529062
152	0.3990228815
153	0.3986777467
154	0.3986737451
155	0.3986473315
156	0.3984014271
157	0.3982838891
158	0.3982817672
159	0.3982805913
160	0.3982528176
161	0.3981626926
162	0.3980803271
163	0.3980004847
164	0.3979937509
165	0.397980296
166	0.3979402006
167	0.397812703
168	0.397772502
169	0.3977556513
170	0.3977514078
171	0.3965951738
172	0.3965942179
173	0.3965904772
174	0.3965879994
175	0.396578649
176	0.3960204572
177	0.3955616643
178	0.3955330532
179	0.3954310625
180	0.3953600414
181	0.3953548055
182	0.3953528993
183	0.3953176905
184	0.3949737059
185	0.394954557
186	0.3949294905
187	0.3949259413
188	0.3948585397
189	0.3946345801
190	0.3945621466
191	0.3944864483
192	0.3944858705
193	0.3944259385
194	0.394367804
195	0.3943572203
196	0.3943220713
197	0.3943204103
198	0.3943190694
199	0.3943173669
200	0.394220164
201	0.3942201602
202	0.3942115718
203	0.394193221
204	0.3940637753
205	0.3939731293
206	0.393958434
207	0.3939566324
208	0.3939547151
209	0.3938686494
